Point Que,Real Distance,Edge 1 Distance,Edge 2 Distance,Angle 1 Distance,Angle 2 Distance
73,1360,649.3659779400773,-1406.376541945046,400,314
74,1300,632.3222662030615,-1237.6732077994768,400,445
75,1356,639.6439644363645,-1454.9672589718057,400,425
76,1363,692.3439178945109,-1426.8254474718067,400,384
77,1263,635.9559913052169,-1446.7342830396844,400,442
78,1331,646.6500310700706,-1346.3375220851622,400,359
79,1386,618.6332428478983,-1303.7371782373145,400,419
80,1318,650.7614404072768,-1363.2939661366133,400,351
81,1369,621.3275684969789,-1207.225209614239,400,499
82,1321,622.4328200633433,-1396.6452524283907,400,469
83,1353,669.6801797316047,-1464.7583240841748,400,304
84,1268,665.7488888321881,-1481.9090822766245,400,435
85,1286,617.3871712550117,-1253.1532934339655,400,336
86,1382,648.5403299674191,-1334.7080472168266,400,493
87,1360,634.2194445412445,-1341.7594640711925,400,379
88,1380,677.0965439349046,-1417.8324902848515,400,342
89,1293,663.6952905123088,-1462.5173308837811,400,324
90,1278,689.1867497686085,-1497.784436000656,400,482
91,1297,634.2715197007815,-1306.6874102925863,400,388
92,1316,665.3253634337435,-1313.6331907973406,400,450
93,1361,689.1369707460162,-1238.0335042999477,400,424
94,1316,621.3370600024921,-1359.0202133303012,400,355
95,1395,626.0114824828767,-1210.1531067751189,400,324
96,1386,649.369276677255,-1351.6829774806017,400,336
97,1343,674.8295561861682,-1240.7350402693232,400,370
98,1397,640.8068681416412,-1499.71124748263,400,380
99,1324,627.5485017767561,-1286.776414778973,400,489
100,1285,633.973288405044,-1492.044898710997,400,487
101,1347,632.4673646744013,-1430.789251645585,400,340
102,1276,622.5775250730452,-1259.182093906633,400,317
103,1367,663.3252608765123,-1486.8347942949076,400,498
104,1389,669.3772267100453,-1323.545891080024,400,473
105,1309,617.711652547129,-1288.7826369326167,400,457
106,1310,633.7575842156207,-1292.9485988646704,400,373
107,1250,679.094461170415,-1479.9418878403042,400,321
108,1393,651.2550057636805,-1465.353599973168,400,500
109,1329,645.7542793448441,-1258.1653772219797,400,359
110,1355,673.3347552653443,-1262.930193914745,400,374
111,1320,618.5170567291384,-1377.5362478324728,400,450
112,1395,656.792107631361,-1287.1055392491714,400,423
113,1398,670.4810043523598,-1283.274119681132,400,343
114,1294,628.7145502968253,-1466.3757570863486,400,418
115,1244,678.2941433933818,-1324.8297949084129,400,407
116,1312,669.7305758238615,-1352.9362684495634,400,380
117,1328,679.7061405305644,-1247.4786398056917,400,342
118,1280,627.2540978219068,-1424.1796652536261,400,311
119,1276,651.5425222947694,-1467.2855847591052,400,424
120,1375,638.706055419729,-1474.7412064453504,400,399
121,1371,678.9955602659992,-1433.162944693483,400,326
122,1353,627.7360884827317,-1442.4436795140691,400,389
123,1321,652.8471811581388,-1449.4707696693577,400,413
124,1396,648.6999023258024,-1284.3490898347836,400,384
125,1371,695.2650569860187,-1398.1810996107283,400,442
126,1271,683.1489606837105,-1267.2904183611986,400,493
127,1323,636.9580909162046,-1390.017694108611,400,464
128,1304,621.6161743249244,-1259.7748587425601,400,385
129,1378,685.0719942377378,-1499.1230361753965,400,371
130,1257,689.2200752168493,-1229.7365817672483,400,363
131,1252,635.8920253593554,-1495.1466063737914,400,464
132,1376,622.9451592446554,-1489.7258620351765,400,392
133,1308,659.0128572244698,-1379.2323059504963,400,343
134,1277,678.4040601446678,-1383.46428034838,400,415
135,1312,686.6179807530311,-1248.8237189347476,400,399
136,1388,633.0676152583812,-1405.1633200314684,400,389
137,1275,639.7976618523755,-1490.531019867681,400,427
138,1248,632.3065107189467,-1385.2495350239906,400,409
139,1357,665.2652160733131,-1247.48431516766,400,486
140,1263,657.4192825994892,-1342.2555267041512,400,328
141,1355,662.3449493754474,-1417.6752401387744,400,428
142,1299,673.7107393307319,-1411.6205391086328,400,490
143,1295,683.9667814964193,-1323.8916542242364,400,454
144,1355,699.1379138979651,-1260.974606535357,400,316
145,1252,679.2843471726329,-1376.3369843985467,400,409
146,1358,653.5452789136918,-1393.6868256679059,400,439
147,1385,631.0391750491203,-1327.2467195791269,400,349
148,1281,632.5965083949718,-1453.1941161815184,400,437
149,1300,690.4181195791001,-1331.8240518119146,400,346
150,1375,663.5616551273417,-1458.6883356739997,400,425
151,1325,619.0268225614856,-1367.4497604955986,400,373
152,1354,681.117941903767,-1288.6017134180602,400,373
153,1264,698.3731768489354,-1478.9197322753923,400,407
154,1343,687.5104042497351,-1474.1049153049898,400,495
155,1294,641.8054142271734,-1461.688207399426,400,330
156,1242,620.7815974652118,-1462.4120019731579,400,324
157,1398,694.6005595326424,-1346.7616194680027,400,356
158,1313,671.2367971824617,-1230.0891499377706,400,300
159,1288,682.1482761593214,-1466.8111353656964,400,477
160,1268,687.9410810893164,-1322.6513830643444,400,438
161,1271,667.080496879737,-1354.1781915425001,400,317
162,1345,672.5930445031628,-1220.1796633965107,400,397
163,1335,635.1141337071573,-1368.8249721656823,400,326
164,1400,628.6497665147574,-1490.4971455923967,400,331
165,1363,621.2001708421001,-1253.6168625316745,400,390
166,1287,622.3579932837359,-1246.5388940289215,400,439
167,1306,651.1799740785103,-1339.447261564802,400,484
168,1382,627.9171056030193,-1461.4124895907294,400,380
169,1257,660.7448788491799,-1347.2105935355523,400,415
170,1287,649.1700408193323,-1200.565880301309,400,495
171,1344,663.3555808072076,-1320.9703979039673,400,387
172,1246,645.4882011115782,-1379.5171502744088,400,317
173,1296,627.3679273214484,-1333.3310297922658,400,469
174,1399,639.5316049306398,-1463.6683614574185,400,464
175,1363,669.2187191875543,-1351.097928852276,400,459
176,1253,679.8659730501089,-1373.369466503014,400,442
177,1335,618.7705350702798,-1276.7170378801732,400,425
178,1290,672.5788065593085,-1212.5780989913856,400,453
179,1307,683.8222682710463,-1263.4249978320013,400,322
180,1328,627.3338862137699,-1376.7065257572576,400,491
181,1285,621.1565082553851,-1219.0118734110517,400,305
182,1296,688.4972727439146,-1213.8382260823153,400,388
183,1398,656.5291128975557,-1386.997546340277,400,355
184,1262,622.9994650930457,-1236.9367300147815,400,460
185,1391,682.8400185553296,-1428.7738645306865,400,347
186,1362,645.6762801969005,-1261.6066705423993,400,499
187,1366,648.2622506460416,-1223.7787515068526,400,485
188,1256,677.2589807674295,-1202.0584875562383,400,454
189,1315,686.7439660969139,-1356.7346681986812,400,342
190,1242,670.4354483161504,-1490.6588320482101,400,306
191,1395,652.6926310697228,-1348.0564635637986,400,344
192,1241,678.0448855361445,-1419.8131635828445,400,386
193,1286,636.0749900704634,-1405.863103937075,400,347
194,1266,679.346447277224,-1439.5079151699788,400,310
195,1351,698.2331222878602,-1439.0463286012407,400,498
196,1240,651.4683074333705,-1365.721746139395,400,439
197,1367,680.5379690437156,-1431.575808347014,400,480
198,1248,638.2870152118638,-1313.9707877602339,400,409
199,1264,672.3854245498745,-1312.7097338695603,400,301
200,1395,688.7877475541435,-1348.5800427497095,400,344
201,1308,677.1384702435112,-1230.1527124677805,400,471
202,1365,637.8748133178914,-1268.0674981978239,400,305
203,1276,619.7233604063863,-1235.5857824267398,400,319
204,1337,644.8077039829446,-1464.0990161693055,400,419
205,1280,689.3227224955509,-1325.6315007705239,400,405
206,1392,643.845026732975,-1290.4536369896578,400,462
207,1288,678.7196165815691,-1396.6671095430422,400,495
208,1264,689.3328745938609,-1450.6424979151625,400,322
209,1289,688.9486185535443,-1204.994320450668,400,472
210,1275,658.2875868270349,-1411.1802514806814,400,334
211,1278,677.2778508057871,-1269.5762961197324,400,360
212,1341,691.1649114408234,-1481.442373636278,400,372
213,1375,693.9929311604869,-1377.6376456820326,400,407
214,1358,668.0870439377809,-1430.7632855787533,400,324
215,1354,670.0371306664714,-1360.680440711406,400,414
216,1328,655.8868202477539,-1222.6787311720532,400,336
217,1400,686.1404961639855,-1365.917167195421,400,403
218,1282,646.2567790381228,-1363.4548120557354,400,337
219,1316,654.9549399073669,-1494.8039877439396,400,312
220,1390,662.9892315695035,-1332.7143658104446,400,350
221,1388,691.4477236053679,-1264.4288554937175,400,456
222,1321,628.1064980010484,-1268.0072102463796,400,468
223,1329,617.0123183100071,-1443.8304184656433,400,418
224,1340,688.1039880321741,-1222.5270277223744,400,305
225,1400,668.9021844826623,-1401.2795079958933,400,346
226,1280,640.9996687441584,-1499.1381259363482,400,433
227,1280,681.0941344109843,-1269.6789635374557,400,487
228,1264,625.8732930473474,-1482.810328739758,400,447
229,1324,651.8750634433663,-1397.3757736824552,400,380
230,1251,641.0414752341549,-1346.1724757289555,400,309
