Point Que,Real Distance,Edge 1 Distance,Edge 2 Distance,Angle 1 Distance,Angle 2 Distance
202,1359,698.8568359214871,-1350.8082028288093,400,358
203,1277,644.382866497586,-1256.3154358888414,400,437
204,1369,674.6760255824063,-1215.3566006004842,400,393
205,1356,645.1232053611504,-1349.5609446174649,400,469
206,1312,671.3781777893219,-1321.8827905803996,400,486
207,1275,653.0737072731374,-1355.8465901462955,400,375
208,1375,685.4724729646039,-1496.548177866668,400,342
209,1276,645.5643881300315,-1357.2544507196137,400,441
210,1386,646.6920450113042,-1471.756025222625,400,361
211,1310,688.2048292975518,-1239.3461077203945,400,314
212,1390,661.399293284207,-1275.590701136228,400,328
213,1379,649.2690057851943,-1319.1278276003566,400,349
214,1271,696.8616245336609,-1444.4218331620052,400,486
215,1297,665.7372262909358,-1444.9188671488312,400,485
216,1303,685.3246594636373,-1294.5144510476143,400,302
217,1396,676.9869852533162,-1244.2355616506302,400,387
218,1285,660.8771660916092,-1407.3102806240431,400,387
219,1398,698.4389238426401,-1227.1829473552898,400,386
220,1313,629.1977433786918,-1322.2256934166348,400,422
221,1278,697.566534410644,-1483.1087583858,400,474
222,1317,685.053656046463,-1264.1927607735051,400,396
223,1359,619.322821668475,-1266.914934701681,400,419
224,1337,633.5371260391972,-1448.3416903167727,400,383
225,1249,632.5099891157788,-1322.7333692806149,400,483
226,1293,626.1221526741866,-1389.3558387030168,400,477
227,1357,663.695932586751,-1252.912566222865,400,422
228,1324,693.6100917944161,-1327.5779993293884,400,328
229,1306,691.6019447461676,-1346.2716767476072,400,304
230,1395,676.3484438602869,-1448.687110780293,400,443
231,1358,697.5246203104062,-1284.7431318050808,400,418
232,1360,630.9985488497601,-1419.3147977107521,400,332
233,1381,696.6967413954276,-1446.2661130052657,400,323
234,1332,694.8567171145882,-1489.7545571220037,400,468
235,1339,628.6502243558978,-1419.3555341953409,400,495
236,1343,672.9291121540783,-1470.9747486151111,400,454
237,1334,683.9660201901337,-1422.9019583779075,400,303
238,1378,694.0434656958736,-1426.504025277034,400,414
239,1324,668.4943189064555,-1291.2738514155858,400,436
240,1327,632.7200686285108,-1222.8145685854709,400,388
241,1270,690.669849097161,-1237.5834755376336,400,352
242,1277,697.2237848299768,-1316.6276406868712,400,357
243,1337,641.7123225653004,-1336.10806850706,400,356
244,1244,645.4342738147546,-1234.3307512327647,400,314
245,1319,698.0903298417156,-1472.140808847618,400,330
246,1290,678.8941977330489,-1289.3031761065374,400,464
247,1251,686.8787486913662,-1293.373207888163,400,344
248,1312,647.8845220171054,-1352.3126123537108,400,441
249,1293,643.1468096339278,-1476.2491009918663,400,458
250,1389,627.7113090838237,-1432.5722098168283,400,300
251,1348,625.1371914100425,-1281.723861386068,400,351
252,1306,693.6392016906702,-1451.932347024662,400,459
253,1359,632.93455196903,-1295.7348247075317,400,500
254,1253,651.5247847309,-1473.4656330935306,400,377
255,1289,661.2173497570974,-1365.8125140266284,400,398
256,1286,683.7801266975639,-1377.091098400402,400,388
257,1305,682.3614974943896,-1278.6005264090122,400,378
258,1398,622.5245608305064,-1244.9824397086059,400,315
259,1306,652.9085502386919,-1469.260488716508,400,320
260,1338,660.6186717143325,-1400.126554033115,400,424
261,1259,659.9922308159223,-1266.6063913982166,400,339
262,1326,637.8277654737259,-1269.0414188683844,400,441
263,1399,669.1502638995543,-1344.570729163426,400,337
264,1388,681.3332865871198,-1410.763639065348,400,463
265,1362,641.6157014924698,-1350.0263508456428,400,471
266,1321,619.963153496216,-1315.3234423530673,400,355
267,1303,694.6756329198083,-1353.066814016452,400,302
268,1251,678.8606143309829,-1361.1577995633647,400,444
269,1359,622.8194774677265,-1381.1759770895112,400,487
270,1393,628.238265853058,-1474.8904099131553,400,403
271,1291,640.0113851024535,-1338.5251560647603,400,424
272,1356,643.6738562379874,-1437.362610972084,400,449
273,1308,675.758348328521,-1377.6700077265712,400,472
274,1256,655.8587283613036,-1477.9218256393897,400,416
275,1284,625.3366598544658,-1222.195226400458,400,490
276,1265,695.1806605043502,-1470.4445798378065,400,360
277,1318,675.3882325798858,-1379.5157415745168,400,488
278,1334,630.6210108181308,-1422.924826426775,400,374
279,1252,645.4259221262167,-1212.2681911409159,400,302
280,1336,665.6182312760837,-1215.971697582208,400,307
281,1358,641.4780691912417,-1230.9716946350568,400,361
282,1301,699.1161454209082,-1273.3140277153298,400,484
283,1374,638.9610052184189,-1207.4774728290754,400,373
284,1291,688.1689814019488,-1496.3849573210266,400,362
285,1389,643.5872804964619,-1363.6332218735588,400,497
286,1319,641.3680431273132,-1424.965620495689,400,329
287,1366,649.4771677402521,-1309.4589751296198,400,319
288,1372,643.56174745507,-1243.521382190172,400,465
289,1334,696.9341401530774,-1292.1165135002452,400,485
290,1255,660.8900746269471,-1320.7195863535906,400,377
291,1303,637.4867750590963,-1496.303630907363,400,483
292,1310,661.0941720669906,-1285.1164258190076,400,334
293,1386,648.9308812606455,-1432.335888481551,400,461
294,1270,625.3359680339645,-1207.1145239082807,400,444
295,1311,694.6341754964454,-1234.684380488427,400,357
296,1272,677.8907248408317,-1379.30219997249,400,345
297,1358,659.7094436561293,-1347.5578640438382,400,429
298,1322,661.7666654378083,-1447.3432985029515,400,368
299,1289,671.5908303334243,-1262.1026160434487,400,415
300,1343,688.8332840046104,-1440.656240116009,400,309
301,1279,642.6961536339983,-1303.0335930542985,400,471
302,1286,689.212227256151,-1246.9304431931353,400,484
303,1394,625.2188378161543,-1318.6822930302683,400,414
304,1356,630.7127422689871,-1435.9053339259704,400,465
305,1362,672.6176790203853,-1314.436218696676,400,395
306,1304,649.45682434507,-1443.0210350025227,400,430
307,1308,627.8493639186194,-1313.964148459916,400,340
308,1294,690.3634471780354,-1281.5702831510612,400,320
309,1302,624.9299382890462,-1348.8664932360136,400,417
310,1293,671.8091331519959,-1319.223729912023,400,383
